titre,entreprise,contrat,lieu,salaire_brut_texte,experience,statut,metier,secteur,etudes,teletravail,url_source,salaire_min,salaire_max
Chargé(e) de communication sénior F/H,ACCILE,CDI,Paris 15 - 75,55 - 70 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Chargé de communication,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177769810W?motsCles=Communication&page=3&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,55.0,70.0
CHEF DE SERVICE - COMMUNICATION F/H,Métropole du Grand Paris,CDI,Paris 13 - 75,A négocier,Minimum 10 ans,Cadre du secteur public / Armées,Analyste financier,ADMINISTRATION PUBLIQUE GÉNÉRALE,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177846744W?motsCles=Communication&page=3&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,,
Technicien radio communication F/H,Acass,CDI,Bron - 69,30 - 40 k€ brut annuel,Minimum 1 an,Agent de maîtrise / Technicien,Chargé de recrutement,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796989W?motsCles=Communication&page=3&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,30.0,40.0
Responsable Communication et Marketing F/H,HUNIC CONSEIL,CDI,Paris 01 - 75,A négocier,Minimum 5 ans,Cadre du secteur privé,Directeur de la communication,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177810291W?motsCles=Communication&page=3&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,,
RESPONSABLE MARKETING ET COMMUNICATION F/H,RATP Cap Ile-de-France,CDI,Nanterre - 92,A négocier,Minimum 5 ans,Cadre du secteur privé,Directeur de la communication,TRANSPORTS ROUTIERS RÉGULIERS DE VOYAGEURS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796832W?motsCles=Communication&page=3&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,,
CHARGE DE COMMUNICATION - F/H,Non spécifié (Confidentiel),CDI,Rivery - 80,A négocier,Minimum 1 an,Cadre du secteur privé,Chargé de communication,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177840937W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,,
CHARGE DE COMMUNICATION ET MARKETING F/H,NUMANS,CDI,Caluire-et-Cuire - 69,30 - 33 k€ brut annuel,Minimum 2 ans,Agent de maîtrise / Technicien,Chargé de communication,ACTIVITÉS COMPTABLES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177799655W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,30.0,33.0
Charge de Communication F/H,Non spécifié (Confidentiel),CDI,Château-Gontier-sur-Mayenne - 53,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de communication,VENTE À DISTANCE SUR CATALOGUE GÉNÉRAL,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177750974W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,,
Responsable Marketing & Communication F/H,Neoptim,CDI,Courbevoie - 92,A négocier,Minimum 7 ans,Cadre du secteur privé,Responsable marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177771137W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,,
Alternance - Chargé de communication F/H,OLYS ENGINEERING,CDD et Alternance - Contrat d'apprentissage   de 12 mois,Villeurbanne - 69,A négocier,Tous niveaux d'expérience acceptés,Agent de maîtrise / Technicien,Chargé de communication,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177811063W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,,
Chef de produit et communication digitale F/H,OPTINERIS RH,CDI,Guéret - 23,A partir de 35 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Chef de produit digital,FABRICATION DE TAPIS ET MOQUETTES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177846672W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,35.0,35.0
Chargé de Communication Clients F/H,Additi,CDD   de 4 mois,Rennes - 35,A négocier,Minimum 2 ans,Cadre du secteur privé,Chargé de communication,RÉGIE PUBLICITAIRE DE MÉDIAS,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177818603W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,,
Responsable Marketing & Communication F/H,ADSERVIO,CDI,Puteaux - 92,A négocier,Minimum 1 an,Cadre du secteur privé,Directeur de la communication,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177846492W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,,
Directeur Marketing et Communication F/H,PLEIADE CONSULTING,CDI,Angers - 49,A négocier,Minimum 5 ans,Cadre du secteur privé,Directeur marketing,CENTRALES D'ACHAT NON ALIMENTAIRES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177626079W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,,
Responsable des Ventes et de la Communication F/H,GARDEN & CITY SAS,CDI,Marseille 06 - 13,A négocier,Minimum 1 an,Cadre du secteur privé,Directeur de la communication,ACTIVITÉS DES SOCIÉTÉS HOLDING,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177837236W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,,
RESPONSABLE DU SERVICE COMMUNICATION F/H,FRANCE  TRAVAIL,CDI,Schiltigheim - 67,A négocier,Minimum 5 ans,Cadre du secteur privé,Directeur de la communication,ADMINISTRATION PUBLIQUE (TUTELLE) DES ACTIVITÉS ÉCONOMIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177770828W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,,
"Acheteur ""Prestations intellectuelles et Communication"" F/H",Chambre de Commerce et de l'industrie Paris - Ile de France,CDI,Paris 10 - 75,40 - 44 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Acheteur de prestations intellectuelles,AUTRES ACTIVITÉS DE SOUTIEN AUX ENTREPRISES NCA,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177869243W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,40.0,44.0
Directeur Communication et Prévention F/H,Non spécifié (Confidentiel),CDI,Douchy-les-Mines - 59,50 - 60 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Directeur de la communication,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177795119W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,50.0,60.0
Responsable Marketing & Communication F/H,Non spécifié (Confidentiel),CDI,Clermont-Ferrand - 63,29 - 32 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Directeur de la communication,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177782578W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,29.0,32.0
CHARGE DE COMMUNICATION - 33 - MEDOC ATLANTIQUE F/H,COMMUNAUTE DE COMMUNES MEDOC ATLANTIQUE,CDI,Soulac-sur-Mer - 33,A négocier,Minimum 2 ans,Cadre du secteur privé,Chargé de communication,AUTRES ORGANISATIONS FONCTIONNANT PAR ADHÉSION VOLONTAIRE,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177538679W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,,
Responsable Communication et Commerce F/H,Non spécifié (Confidentiel),CDI,Marnes-la-Coquette - 92,40 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Directeur de la communication,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177807615W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,40.0,45.0
Chef de Projet Communication F/H,Non spécifié (Confidentiel),CDI,Pérols - 34,40 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de communication,AUTRES ASSURANCES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177863236W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,40.0,45.0
Chargé de Marketing et Communication F/H,Non spécifié (Confidentiel),CDD   de 6 mois,Nogent-le-Roi - 28,26 - 29 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de communication,ACTIVITÉS DES SIÈGES SOCIAUX,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177821279W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,26.0,29.0
Chargé de Marketing et Communication F/H,Non spécifié (Confidentiel),CDI,Persan - 95,35 - 40 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Chargé de communication,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) NON SPÉCIALISÉ,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177819647W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,35.0,40.0
Assistant Qualité et Communication F/H,Non spécifié (Confidentiel),CDI,Auxerre - 89,25 - 25 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de la qualité,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177781344W?motsCles=Communication&page=4&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,25.0,25.0
Formateurs en Communication professionnelle et d'entreprise F/H,OPCADIA,CDI,Lyon 01 - 69,A négocier,Minimum 3 ans,Cadre du secteur privé,Formateur,FORMATION CONTINUE D'ADULTES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177876003W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,,
Technicien Radio Communication F/H,Non spécifié (Confidentiel),CDI,Bron - 69,30 - 40 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de recrutement,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177808020W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,30.0,40.0
Responsable de rayon Média Manager Communication F/H,Andrew Staffing,CDI,Elbeuf - 76,A partir de 39 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé des relations publiques,COMMERCE D'ALIMENTATION GÉNÉRALE,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796969W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,39.0,39.0
Chargé de Marketing & communication F/H,Non spécifié (Confidentiel),CDI,Melun - 77,A partir de 36 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Chef de projet marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177830829W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,36.0,36.0
Responsable Marketing & Communication F/H,Non spécifié (Confidentiel),CDI,Saint-Priest - 69,45 - 55 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable marketing,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177841920W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,45.0,55.0
Responsable marketing et communication F/H,Non spécifié (Confidentiel),CDI,Saint-Priest - 69,A partir de 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable marketing,FABRICATION D'AUTRES MACHINES D'USAGE GÉNÉRAL,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177832640W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,45.0,45.0
Responsable Communication et Marketing F/H,Non spécifié (Confidentiel),CDI,Nanterre - 92,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable marketing,ACTIVITÉS DES AGENTS ET COURTIERS D'ASSURANCES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177866278W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,,
Chargé de Communication Digitale F/H,Non spécifié (Confidentiel),CDD   de 6 mois,Changé - 53,20 - 20 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de communication,FORMATION CONTINUE D'ADULTES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177866302W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,20.0,20.0
Communication & Marketing Manager - BtoB International F/H,HOSMIA CONSULTING,CDI,Saclay - 91,65 - 75 k€ brut annuel,Minimum 8 ans,Cadre du secteur privé,Responsable marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177861507W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,65.0,75.0
Chargé(e) de communication interne F/H,CMA Pays de la Loire,CDD   de 12 mois,Sainte-Luce-sur-Loire - 44,32 - 36 k€ brut annuel,Minimum 3 ans,Cadre du secteur public / Armées,Chargé de communication,ACTIVITÉS DES ORGANISATIONS PATRONALES ET CONSULAIRES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177809676W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,32.0,36.0
Apprenti Chargé de Communication RH- F/H,EQUAD RCC,CDI et Alternance - Contrat d'apprentissage   de 25 mois,Issy-les-Moulineaux - 92,A négocier,Minimum 2 ans,Cadre du secteur privé,Chargé de communication,ÉVALUATION DES RISQUES ET DOMMAGES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177824028W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,,
Analyste Senior - Opérations & Communication Financière F/H,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,Paris 02 - 75,60 - 70 k€ brut annuel,Aucune expérience exigée,Cadre du secteur privé,,"AUTRES ACTIVITÉS DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, NCA",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177755801W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,60.0,70.0
Chargé de communication interne(en CDD) F/H,ONEY BANK,CDD   de 6 mois,Croix - 59,A négocier,Minimum 3 ans,Cadre du secteur privé,Chargé de communication,"AUTRES ACTIVITÉS DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, NCA",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177869424W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,,
Chargé·e de communication et développement du mécénat F/H,ASSOCIATION DEPARTEMENTALE DES INFIRMES MOTEURS CEREBRAUX ET POLYHANDICAPES DE LA LOIRE,CDI     à temps partiel (4/5),Saint-Étienne - 42,38 - 48 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Chargé de communication,ACTIVITÉS DES SIÈGES SOCIAUX,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177848420W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,38.0,48.0
"Responsable du Développement, de la communication et du Fundraising F/H",(Confidentielle),CDI,Paris - 75,45 - 55 k€ brut annuel,Minimum 7 ans,Cadre du secteur privé,Responsable mécénat,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177508500W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,45.0,55.0
Chef de projet communication interne F/H,Foncia,CDI,Courbevoie - 92,A négocier,Minimum 2 ans,Cadre du secteur privé,Chargé de communication,ADMINISTRATION D'IMMEUBLES ET AUTRES BIENS IMMOBILIERS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177872291W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,,
Responsable Communication Externe F/H,Non spécifié (Confidentiel),CDI,Mont-Saint-Aignan - 76,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé des relations publiques,TÉLÉCOMMUNICATIONS FILAIRES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177750822W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,,
Responsable marketing et communication F/H,Non spécifié (Confidentiel),CDI,Marseille 07 - 13,A négocier,Minimum 6 ans,Cadre du secteur privé,Responsable marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177858993W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,,
Chargé.e de communication (CDI) F/H,W0 Group,CDI,Tremblay-en-France - 93,A négocier,Minimum 1 an,Cadre du secteur privé,Chargé de communication,ACTIVITÉS DES SIÈGES SOCIAUX,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177876242W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,,
Chargé de Communication Locale F/H,Non spécifié (Confidentiel),CDI,Annecy - 74,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de communication,TÉLÉCOMMUNICATIONS FILAIRES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177806774W?motsCles=Communication&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,,
CDD - Chargé(e) de communication F/H,Caisse d'Epargne Normandie,CDD   de 6 mois,Bois-Guillaume - 76,A négocier,Minimum 2 ans,Agent de maîtrise / Technicien,Chargé de communication,"AUTRES ACTIVITÉS DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, NCA",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177802830W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,,
Chef de projet en communication médicale F/H,HAVAS LIFE PARIS,CDI,Puteaux - 92,A négocier,Minimum 2 ans,Cadre du secteur privé,Chargé de communication,ACTIVITÉS DES AGENCES DE PUBLICITÉ,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177770054W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,,
Chargé-e de communication MaQuEst F/H,UNIVERSITE DE STRASBOURG,CDD   de 12 mois,Strasbourg - 67,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur public / Armées,Chargé de communication,ENSEIGNEMENT SUPÉRIEUR,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177825750W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,,
Concepteur Rédacteur en communication médicale F/H,Havas Life Paris,CDI,Puteaux - 92,A négocier,Minimum 5 ans,Cadre du secteur privé,Rédacteur technique,"LOCATION-BAIL DE PROPRIÉTÉ INTELLECTUELLE ET DE PRODUITS SIMILAIRES, À L'EXCEPTION DES ¿UVRES SOUMISES À COPYRIGHT",,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177799023W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,,
Acheteur Senior Communication RH F/H,GIO Recrutement,CDI,Guyancourt - 78,A partir de 40 k€ brut annuel,Tous niveaux d'expérience acceptés,Agent de maîtrise / Technicien,Acheteur,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177745084W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,40.0,40.0
RESPONSABLE Communication et relation clients - F/H,Leclerc,CDI,Saint-Pierre-lès-Elbeuf - 76,A négocier,Minimum 3 ans,Cadre du secteur privé,Responsable de la relation clients,HYPERMARCHÉS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177800432W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,,
Chargé de Marketing et Communication F/H,Non spécifié (Confidentiel),CDI,Marseille 07 - 13,A négocier,Minimum 6 ans,Cadre du secteur privé,Chef de projet marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177780865W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,,
Responsable Marketing/Communication F/H,Non spécifié (Confidentiel),CDI,Toulouse - 31,A négocier,Minimum 6 ans,Cadre du secteur privé,Responsable marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177772719W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,,
Responsable Comptable – Secteur Audiovisuel & Communication F/H,PROTALENTS PARTNERS,CDI,Paris 16 - 75,65 - 70 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Responsable comptable,"POST-PRODUCTION DE FILMS CINÉMATOGRAPHIQUES, DE VIDÉO ET DE PROGRAMMES DE TÉLÉVISION",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177649409W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,65.0,70.0
Chargé de contenus marketing et communication évènementielle F/H,Bertin Technologies,CDI,Montigny-le-Bretonneux - 78,35 - 40 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Chef de projet marketing,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177804740W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,35.0,40.0
Chargé de Communication & Marketing F/H,Non spécifié (Confidentiel),CDI,Corlay - 22,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de communication,ACTIVITÉS DES SIÈGES SOCIAUX,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177750978W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,,
Gestionnaire Marketing & Communication /D) F/H,Non spécifié (Confidentiel),CDD   de 4 mois,Taden - 22,A négocier,Minimum 1 an,Cadre du secteur privé,Chef de projet marketing,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177874605W?motsCles=Communication&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,,
